District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Tharparkar,Sandy Loam,Jowar,None,Empty Field,44.0,12.3,38.1,7.55,9.4,Jowar,Pre-Sowing
Mirpur Khas,Silt Loam,Rice,None,Empty Field,218.7,73.8,221.6,7.24,69.6,Sugarcane,Pre-Sowing
Umerkot,Clay,Wheat,None,Empty Field,19.6,32.3,35.6,7.66,16.6,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,Jowar,None,Empty Field,6.9,7.3,15.0,8.98,3.7,Desert grasses,Pre-Sowing
Umerkot,Clay,None,Chilli,Seedling,32.1,25.0,61.9,7.98,19.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Sunflower,None,Empty Field,71.0,21.7,56.3,7.51,15.7,Moth bean,Pre-Sowing
Umerkot,Light Sandy,Jowar,None,Empty Field,105.3,36.5,74.0,7.15,34.4,Jowar,Pre-Sowing
Mirpur Khas,Alluvial,None,Chilli,Vegetative,56.0,29.1,77.7,7.34,19.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Jowar,None,Empty Field,52.1,18.1,71.4,7.29,27.9,Jowar,Pre-Sowing
Tharparkar,Sandy,Desert grasses,None,Empty Field,62.9,39.2,81.9,8.17,7.7,Bajra,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Seedling,5.8,6.5,17.0,9.5,2.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Sunflower,None,Empty Field,82.4,38.2,119.7,7.1,46.1,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,None,Wheat,Flowering,103.8,48.8,126.2,6.76,41.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Desert grasses,Maturity,11.0,17.6,26.3,8.78,7.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Cotton,Maturity,99.8,34.6,161.3,7.66,44.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Bajra,Vegetative,64.7,19.2,70.7,7.82,14.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Guar,Flowering,28.6,55.2,63.5,8.11,23.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Dates,Vegetative,44.6,29.2,50.5,8.81,3.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Guar,Seedling,25.0,29.3,36.8,8.63,12.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Guava,Flowering,110.0,49.4,147.3,5.52,43.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Moth bean,Seedling,24.6,34.9,47.5,7.86,29.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Onion,Maturity,111.1,57.3,171.3,6.85,53.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Tomato,None,Empty Field,92.1,27.5,99.4,7.01,35.4,Wheat,Pre-Sowing
Umerkot,Clay,Chilli,None,Empty Field,49.2,13.9,42.6,8.25,9.2,Moth bean,Pre-Sowing
Umerkot,Clay,None,Onion,Maturity,78.9,41.1,121.9,6.69,38.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Wheat,Flowering,34.7,8.3,44.1,8.8,15.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Umerkot,Clay,None,Onion,Seedling,62.8,15.9,45.4,7.22,29.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,Cotton,None,Empty Field,51.6,20.8,52.2,8.24,12.0,Guar,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,12.9,35.3,34.8,7.83,13.5,Moth bean,Pre-Sowing
Mirpur Khas,Loamy,None,Onion,Flowering,69.7,27.6,50.0,7.12,23.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,None,Sunflower,Flowering,73.5,29.9,88.4,7.39,28.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,Mango,None,Empty Field,117.3,55.2,128.8,6.93,62.2,Wheat,Pre-Sowing
Umerkot,Loamy,Wheat,None,Empty Field,98.6,37.7,60.4,7.98,35.5,Jowar,Pre-Sowing
Mirpur Khas,Loamy,Cotton,None,Empty Field,100.2,49.9,136.9,6.57,43.6,Guava,Pre-Sowing
Mirpur Khas,Clay Loam,Sugarcane,None,Empty Field,123.9,58.8,200.1,6.77,57.2,Onion,Pre-Sowing
Umerkot,Sandy Loam,Chilli,None,Empty Field,14.3,14.8,28.7,9.02,7.6,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,Jowar,None,Empty Field,16.5,12.3,33.6,7.75,8.8,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,Jowar,None,Empty Field,26.1,30.0,42.9,7.62,14.5,Jowar,Pre-Sowing
Tharparkar,Sandy Loam,Guar,None,Empty Field,31.9,11.4,51.4,8.56,12.7,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Seedling,48.9,14.6,40.2,8.78,7.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Sunflower,None,Empty Field,58.9,23.7,71.7,7.31,18.6,Jowar,Pre-Sowing
Mirpur Khas,Clay Loam,Guava,None,Empty Field,135.0,47.3,202.7,7.36,47.1,Cotton,Pre-Sowing
Mirpur Khas,Loamy,None,Onion,Maturity,90.3,37.6,146.6,6.43,42.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Sugarcane,None,Empty Field,127.5,55.1,176.6,6.3,63.9,Tomato,Pre-Sowing
Umerkot,Light Sandy,Sunflower,None,Empty Field,78.9,26.4,74.7,6.8,30.4,Jowar,Pre-Sowing
Umerkot,Loamy,None,Onion,Vegetative,92.6,29.6,106.0,6.59,44.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Wheat,None,Empty Field,17.1,31.0,34.3,8.65,12.9,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Wheat,None,Empty Field,15.2,31.6,47.6,8.46,15.2,Guar,Pre-Sowing
Tharparkar,Sandy,Desert grasses,None,Empty Field,8.7,15.0,21.9,7.71,7.4,Desert grasses,Pre-Sowing
Umerkot,Loamy,Moth bean,None,Empty Field,106.3,52.2,150.7,7.06,61.2,Chilli,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,77.4,38.9,83.9,7.71,6.7,Jowar,Pre-Sowing
Mirpur Khas,Silt Loam,None,Onion,Seedling,97.0,41.7,111.7,6.56,37.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,Chilli,None,Empty Field,16.9,31.8,38.5,7.37,13.5,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Flowering,31.4,8.6,23.1,9.21,5.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy Loam,None,Guar,Vegetative,24.7,41.5,47.6,8.71,19.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Onion,Flowering,79.7,39.9,136.7,6.81,43.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Dates,Flowering,78.9,36.0,83.5,8.35,6.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Dates,Seedling,117.4,68.9,99.5,7.61,16.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Moth bean,Flowering,26.3,40.6,41.7,7.74,20.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,Jowar,None,Empty Field,113.5,56.1,151.3,6.94,60.6,Onion,Pre-Sowing
Umerkot,Light Sandy,None,Bajra,Maturity,56.7,20.4,62.4,6.57,14.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,27.5,11.3,15.0,8.93,4.5,Desert grasses,Pre-Sowing
Umerkot,Loamy,Wheat,None,Empty Field,80.2,22.0,78.5,7.83,25.2,Guar,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Seedling,113.9,41.5,159.3,7.56,59.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,Moth bean,None,Empty Field,13.9,29.1,30.8,7.96,13.4,Moth bean,Pre-Sowing
Umerkot,Light Sandy,Sunflower,None,Empty Field,88.5,40.4,144.0,7.1,38.9,Sunflower,Pre-Sowing
Tharparkar,Sandy,None,Desert grasses,Vegetative,12.4,12.9,20.8,9.04,11.4,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,Cotton,None,Empty Field,29.4,14.8,69.4,8.17,12.3,Guar,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Maturity,30.3,9.8,33.3,8.36,12.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,None,Onion,Maturity,99.1,45.9,131.4,7.05,42.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Bajra,Maturity,36.7,13.6,47.3,8.42,11.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,Jowar,None,Empty Field,12.1,28.8,28.3,7.71,14.8,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Flowering,82.0,36.4,81.0,8.09,38.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,Wheat,None,Empty Field,82.4,23.6,89.9,7.75,25.6,Bajra,Pre-Sowing
Mirpur Khas,Clay Loam,None,Tomato,Flowering,117.1,62.6,168.1,6.89,67.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Cotton,Flowering,73.9,22.2,122.3,8.18,20.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy Loam,None,Desert grasses,Maturity,17.7,9.6,23.2,9.2,8.7,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Bajra,Flowering,70.7,23.2,58.7,7.98,10.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Sunflower,None,Empty Field,36.7,16.7,76.8,7.57,21.2,Moth bean,Pre-Sowing
Tharparkar,Sandy,Bajra,None,Empty Field,12.9,9.1,22.9,7.76,15.7,Moth bean,Pre-Sowing
Umerkot,Clay,None,Sunflower,Flowering,39.1,17.6,36.8,7.55,16.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Cotton,None,Empty Field,59.2,19.6,60.6,7.86,15.6,Guar,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,72.1,34.8,60.5,7.05,16.1,Jowar,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,71.8,34.5,69.0,7.69,8.0,Jowar,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Vegetative,43.7,6.7,24.2,8.61,9.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Bajra,None,Empty Field,7.5,5.4,15.3,9.5,3.8,Desert grasses,Pre-Sowing
Mirpur Khas,Clay Loam,None,Wheat,Flowering,34.9,13.4,42.0,8.07,13.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Sandy Loam,Bajra,None,Empty Field,38.5,16.6,39.0,8.62,9.8,Desert grasses,Pre-Sowing
Mirpur Khas,Clay Loam,Chilli,None,Empty Field,50.6,16.6,64.9,7.79,20.4,Wheat,Pre-Sowing
Tharparkar,Desert Sand,Guar,None,Empty Field,25.2,9.6,28.9,8.24,16.2,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Onion,Flowering,96.1,33.0,118.1,6.74,48.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Desert grasses,None,Empty Field,39.3,13.9,28.3,7.81,8.0,Jowar,Pre-Sowing
Umerkot,Loamy,None,Bajra,Maturity,78.3,34.4,79.6,6.7,28.1,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Bajra,None,Empty Field,66.9,22.3,57.5,8.36,19.1,Bajra,Pre-Sowing
Umerkot,Clay,Bajra,None,Empty Field,83.3,44.4,113.2,6.88,46.6,Sunflower,Pre-Sowing
Tharparkar,Sandy,Desert grasses,None,Empty Field,69.5,30.2,64.7,8.41,19.4,Bajra,Pre-Sowing
Tharparkar,Desert Sand,Guar,None,Empty Field,36.1,12.6,39.4,8.43,9.2,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Jowar,None,Empty Field,20.0,32.6,39.0,8.45,21.8,Guar,Pre-Sowing
Tharparkar,Sandy Loam,Bajra,None,Empty Field,77.2,37.4,95.7,7.64,32.9,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,None,Banana,Vegetative,166.3,88.1,222.9,6.72,70.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,None,Rice,Flowering,144.5,49.6,128.2,6.07,86.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Cotton,None,Empty Field,135.8,58.2,167.8,7.05,50.1,Cotton,Pre-Sowing
Mirpur Khas,Silt Loam,None,Mango,Maturity,70.7,21.4,53.0,7.28,22.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,None,Guava,Seedling,75.9,29.3,102.2,7.04,34.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Desert grasses,Vegetative,6.3,5.4,15.8,9.5,2.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Bajra,None,Empty Field,62.8,19.4,77.2,8.3,25.7,Bajra,Pre-Sowing
Mirpur Khas,Clay Loam,Tomato,None,Empty Field,128.0,49.5,117.5,6.2,88.0,Rice,Pre-Sowing
Tharparkar,Desert Sand,Guar,None,Empty Field,5.9,6.3,15.2,9.28,3.5,Desert grasses,Pre-Sowing
Umerkot,Loamy,None,Onion,Vegetative,77.7,41.5,118.7,7.3,35.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Guar,None,Empty Field,120.8,39.5,164.6,7.74,48.2,Cotton,Pre-Sowing
Umerkot,Loamy,Sunflower,None,Empty Field,92.1,33.7,106.9,6.91,43.4,Sunflower,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Maturity,12.8,14.5,33.4,8.53,14.3,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Guar,None,Empty Field,62.8,18.3,58.7,8.49,27.6,Bajra,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Vegetative,68.7,29.2,123.1,7.77,31.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,None,Guar,Maturity,6.8,19.6,31.8,8.61,10.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,None,Wheat,Vegetative,98.9,36.4,115.3,7.03,44.1,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Wheat,Maturity,56.4,18.5,63.7,7.36,27.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Dates,Seedling,82.1,44.5,83.1,8.03,6.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Chilli,Maturity,121.7,59.1,151.2,6.08,55.3,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Rice,None,Empty Field,95.4,41.1,84.9,6.33,60.3,Guava,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,88.4,31.3,88.1,7.97,44.8,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,None,Cotton,Flowering,103.3,34.6,133.0,7.15,35.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Jowar,Vegetative,37.5,14.2,32.1,7.49,8.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Banana,None,Empty Field,118.6,46.8,124.5,5.84,86.8,Rice,Pre-Sowing
Umerkot,Loamy,Moth bean,None,Empty Field,97.5,36.8,108.6,7.52,21.7,Bajra,Pre-Sowing
Umerkot,Loamy,Moth bean,None,Empty Field,7.8,12.8,21.6,8.39,5.8,Moth bean,Pre-Sowing
Mirpur Khas,Alluvial,None,Mango,Maturity,132.8,50.4,177.4,6.78,43.3,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Guava,Flowering,33.8,23.3,44.4,7.46,14.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Light Sandy,Wheat,None,Empty Field,6.3,18.7,23.3,8.56,6.2,Moth bean,Pre-Sowing
Mirpur Khas,Silt Loam,Guava,None,Empty Field,153.4,39.8,170.1,7.67,50.2,Cotton,Pre-Sowing
Umerkot,Sandy Loam,None,Cotton,Vegetative,77.8,24.7,142.6,7.76,28.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Dates,None,Empty Field,65.0,21.8,44.0,8.36,20.9,Bajra,Pre-Sowing
Tharparkar,Desert Sand,None,Moth bean,Flowering,23.6,37.5,31.7,8.05,16.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Cotton,Maturity,85.2,25.9,145.6,7.38,28.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Jowar,None,Empty Field,8.5,17.9,20.1,8.43,6.6,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,45.5,15.5,37.1,8.3,7.7,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Guava,Vegetative,89.2,49.4,138.5,6.84,40.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Tomato,None,Empty Field,100.9,48.7,146.5,6.72,54.6,Chilli,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,6.1,7.5,16.4,8.05,3.9,Desert grasses,Pre-Sowing
Umerkot,Sandy Loam,None,Bajra,Seedling,25.0,13.4,52.3,8.31,10.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Loamy,Onion,None,Empty Field,83.0,36.4,124.6,7.27,37.5,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,None,Moth bean,Flowering,10.0,19.3,25.2,8.04,6.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,42.9,14.3,39.8,7.76,8.0,Jowar,Pre-Sowing
Umerkot,Clay,Onion,None,Empty Field,85.6,43.7,67.2,6.89,28.5,Jowar,Pre-Sowing
Umerkot,Loamy,Chilli,None,Empty Field,83.1,41.8,109.5,6.5,26.2,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Maturity,67.0,28.6,75.5,7.87,21.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Tomato,Vegetative,78.1,52.0,146.4,6.02,50.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Jowar,None,Empty Field,7.9,20.5,19.6,8.97,5.9,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,Dates,None,Empty Field,20.0,32.7,41.5,8.27,14.4,Guar,Pre-Sowing
Tharparkar,Desert Sand,None,Jowar,Flowering,54.8,18.8,39.8,8.2,16.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,None,Guar,Flowering,8.6,24.3,26.8,7.51,9.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Onion,Vegetative,53.9,24.5,103.0,7.3,28.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,Bajra,None,Empty Field,108.8,48.2,173.5,7.12,45.1,Cotton,Pre-Sowing
Mirpur Khas,Loamy,None,Onion,Flowering,101.2,33.3,123.2,6.72,44.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Onion,None,Empty Field,57.0,27.8,83.9,7.4,12.5,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,None,Mango,Maturity,91.8,38.8,119.5,7.3,30.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,None,Chilli,Seedling,52.0,25.2,52.1,8.05,27.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Alluvial,None,Wheat,Maturity,94.0,29.8,87.1,7.79,37.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Moth bean,Seedling,16.0,31.0,30.6,8.03,16.5,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Jowar,Vegetative,45.2,15.0,27.1,8.51,9.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Moth bean,None,Empty Field,122.0,71.7,101.1,7.78,8.3,Dates,Pre-Sowing
Tharparkar,Sandy,Desert grasses,None,Empty Field,61.5,24.8,74.1,7.66,27.4,Jowar,Pre-Sowing
Tharparkar,Sandy,Wheat,None,Empty Field,103.8,64.3,113.0,7.91,15.5,Dates,Pre-Sowing
Mirpur Khas,Loamy,Guava,None,Empty Field,118.0,43.6,118.0,7.21,50.7,Wheat,Pre-Sowing
Umerkot,Clay,Moth bean,None,Empty Field,27.0,39.5,61.7,7.3,28.0,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Vegetative,50.6,19.2,67.2,7.08,23.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Jowar,Vegetative,64.3,30.7,44.6,7.78,26.8,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Wheat,None,Empty Field,63.0,22.8,43.3,6.99,19.5,Jowar,Pre-Sowing
Tharparkar,Sandy,Jowar,None,Empty Field,21.5,31.3,45.6,7.98,8.5,Moth bean,Pre-Sowing
Mirpur Khas,Clay Loam,Banana,None,Empty Field,116.1,51.7,144.7,6.87,44.5,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Bajra,Flowering,43.7,12.2,45.2,7.82,9.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Dates,None,Empty Field,67.8,19.5,67.5,8.39,12.2,Bajra,Pre-Sowing
Mirpur Khas,Loamy,None,Chilli,Seedling,92.3,36.6,112.8,6.12,37.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Onion,None,Empty Field,179.9,79.9,208.3,7.25,71.2,Sugarcane,Pre-Sowing
